Subject,Start Date,End Date,Start Time,End Time,Location
陽壘聯盟 vs Maddog,08/16/2020,08/16/2020,11:00 AM,12:00 PM,C場地
協技科技 vs 陽壘聯盟,08/16/2020,08/16/2020,12:00 PM,01:00 PM,C場地
陽壘聯盟 vs 弘泰,08/23/2020,08/23/2020,11:00 AM,12:00 PM,B場地
友勁慢壘 vs 陽壘聯盟,08/23/2020,08/23/2020,12:00 PM,01:00 PM,B場地
陽壘聯盟 vs 台北鄉民,08/30/2020,08/30/2020,09:00 AM,10:00 AM,A場地
FOURTEEN vs 陽壘聯盟,08/30/2020,08/30/2020,10:00 AM,11:00 AM,A場地
FOCUS vs 陽壘聯盟,09/13/2020,09/13/2020,11:00 AM,12:00 PM,C場地
陽壘聯盟 vs 正德一隆,09/13/2020,09/13/2020,01:00 PM,02:00 PM,C場地
逢聯 vs 陽壘聯盟,10/18/2020,10/18/2020,10:00 AM,11:00 AM,C場地
陽壘聯盟 vs CENYU,10/18/2020,10/18/2020,12:00 PM,01:00 PM,C場地
